feature,rank,category,gain_pct,fold_0,fold_1,fold_2,fold_3
hl_range_rank,1,price,3.3078,0.7573,1.6157,3.899,6.9591
seas_month_rank,2,season,3.1962,3.9319,3.4776,2.982,2.3934
dist_52w_high_rank,3,momentum,2.8415,2.0182,2.0133,3.1176,4.2171
beta_120_rank,4,market,2.7833,2.6473,2.6155,3.1555,2.715
vol_63_rank,5,price,2.6323,2.1083,2.7631,2.9036,2.7542
bb_width_20_rank,6,technical,2.543,2.6458,2.7612,2.5951,2.1698
mkt_corr_60_rank,7,market,2.451,2.969,2.7636,2.0445,2.0271
dist_52w_low_rank,8,momentum,2.381,2.5992,3.025,2.1439,1.7558
idio_vol_60_rank,9,market,2.3788,2.045,2.1477,2.0571,3.2653
ma_gap_12_26_rank,10,technical,2.3767,2.1521,2.4888,2.23,2.6361
log_adtv_rank,11,volume,2.243,2.2406,2.2935,2.2788,2.1591
ret_1_rank,12,momentum,2.2248,1.7618,1.433,2.4857,3.2188
amihud_63_rank,13,volume,2.1967,2.6759,2.1501,2.1652,1.7954
max_ret_21_rank,14,shape,2.1786,2.6282,2.2602,2.0482,1.7781
parkinson_21_rank,15,price,2.1473,1.5474,2.8562,2.9537,1.2318
beta_60_rank,16,market,2.1459,2.4975,2.7123,1.755,1.6189
ret_126_rank,17,momentum,2.1404,2.3967,2.201,1.9957,1.9684
excess_ret_63_rank,18,market,2.1051,2.1381,2.3565,2.2531,1.6727
peer_corr_rank,19,peer,2.0997,2.1134,2.6211,1.892,1.7725
peer_ret_21_rank,20,peer,1.973,2.5024,2.1381,1.7007,1.5508
mom_12_1_rank,21,momentum,1.9286,1.4799,2.0012,2.1259,2.1074
gap_rank,22,price,1.8906,1.9222,1.5628,1.9115,2.166
adtv_trend_21_63_rank,23,volume,1.848,2.5765,1.7013,1.7157,1.3984
alpha_60_rank,24,market,1.7656,1.8337,1.7764,1.4407,2.0115
amihud_21_rank,25,volume,1.728,2.0492,1.8065,1.714,1.3424
vol_ratio_21_63_rank,26,price,1.6983,1.683,1.8334,1.7576,1.5194
skew_21_rank,27,shape,1.6906,1.9548,1.9494,1.5296,1.3287
overnight_frac_21_rank,28,price,1.6837,1.578,1.6083,2.1106,1.438
ma_ratio_200_rank,29,technical,1.6794,1.6073,1.5444,1.9839,1.5821
downside_vol_21_rank,30,price,1.667,1.8968,1.7148,1.5808,1.4756
trade_freq_21_rank,31,price,1.6662,0.224,1.9019,2.2644,2.2745
ret_5_rank,32,momentum,1.6396,1.5552,1.9845,1.4783,1.5405
limit_up_frac_63_rank,33,shape,1.6237,1.6999,1.797,1.5734,1.4245
peer_gap_5_rank,34,peer,1.6142,1.7356,1.6938,1.5029,1.5243
atr_14_norm_rank,35,price,1.5841,1.343,1.3743,2.0714,1.5477
bb_pct_20_rank,36,technical,1.5228,1.7518,1.6546,1.3757,1.3091
ret_252_rank,37,momentum,1.4991,1.5446,1.3904,1.6729,1.3888
turnover_ratio_5_rank,38,volume,1.4271,1.5527,1.5594,1.3154,1.2811
untradeable_frac_21_rank,39,volume,1.422,1.6192,1.4756,1.1797,1.4135
garman_klass_21_rank,40,price,1.4199,1.5094,1.3642,1.4988,1.3072
ret_63_rank,41,momentum,1.3858,1.3111,1.5287,1.382,1.3214
ma_ratio_50_rank,42,technical,1.3617,1.6156,1.4918,1.1939,1.1454
vol_21_rank,43,price,1.3562,1.159,1.2518,1.1416,1.8722
stoch_14_rank,44,technical,1.3499,1.2893,1.0455,1.3746,1.69
limit_down_frac_63_rank,45,shape,1.3158,1.6054,1.3269,1.0501,1.2806
peer_ret_5_rank,46,peer,1.2916,1.4689,1.4027,1.1822,1.1126
up_day_frac_21_rank,47,shape,1.2663,1.4663,1.3925,0.9847,1.2217
band_proximity_rank,48,shape,1.2258,1.4818,0.9,1.2827,1.2388
rsi_14_rank,49,technical,1.0788,1.0635,1.0234,1.1151,1.113
excess_ret_5_rank,50,market,0.9955,1.194,0.8284,0.9636,0.9959
excess_ret_21_rank,51,market,0.9949,1.5007,0.9278,0.9374,0.6136
turnover_ratio_rank,52,volume,0.8643,0.7733,0.5753,0.8585,1.2499
close_location_rank,53,price,0.8457,1.0986,0.6297,0.7549,0.8998
volume_z_21_rank,54,volume,0.8165,1.007,0.8299,0.7235,0.7057
ret_21_rank,55,momentum,0.794,0.8555,0.9623,0.7495,0.6086
seas_tet_rank,56,season,0.6526,0.0954,0.3678,1.1457,1.0017
intraday_ret_rank,57,price,0.5055,0.7062,0.6994,0.3577,0.2589
turnover_ratio_21_rank,58,volume,0.473,0.8153,0.4283,0.3434,0.3052
net_issuance_252_rank,59,volume,0.0813,0.0,0.0,0.0,0.3251
